Energy,Loc23,Loc22,Loc20
0,0.5,0.5,0.5
1,0.5,0.5,0.5
2,0.5,0.5,0.5
3,0.5,0.5,0.5
4,0.5,0.5,0.5
5,0.5,0.5,0.5
6,0.5,0.5,0.5
7,0.5,0.5,0.5
8,0.5,0.5,0.5
9,0.5,0.5,0.5
10,0.5,0.5,0.5
11,0.5,0.5,0.5
12,0.5,0.5,0.5
13,0.5,0.5,0.5
14,0.5,0.5,0.5
15,0.5,0.5,0.5
16,18.11904762,28.54615385,33.5
17,23.88095238,30.26153846,31.00746269
18,39.07936508,42.2,36.97014925
19,39.3015873,38.79230769,53.55970149
20,40.51587302,49.12307692,57.40298507
21,45.42063492,59.4,64.94776119
22,55.73809524,68.39230769,68.64925373
23,68.11904762,79.22307692,85.60447761
24,58.74603175,79.81538462,98.2238806
25,67.12698413,80.76153846,105.5746269
26,78.03174603,78.88461538,99.52238806
27,70.31746032,76.52307692,93.73880597
28,75.04761905,81.28461538,93.38059701
29,74.23809524,69.40769231,87.00746269
30,60.08730159,73.72307692,91.3358209
31,60.96031746,62.01538462,81.02985075
32,44.92857143,58.30769231,76.82835821
33,50.05555556,56.82307692,78.81343284
34,53.5952381,54.53846154,68.44776119
35,55.56349206,44.62307692,70.13432836
36,63.4047619,47.47692308,71.69402985
37,49.97619048,49.66153846,63.7761194
38,51.48412698,53.93846154,76.7238806
39,48.82539683,39.67692308,58.25373134
40,42.04761905,41.85384615,60.99253731
41,40.48412698,44.47692308,60.45522388
42,49.93650794,43.98461538,55.05223881
43,39.5952381,36.66153846,58.00746269
44,42.22222222,33.77692308,53.79104478
45,32.50793651,34.95384615,60.04477612
46,34.42857143,34.66153846,70.00746269
47,43.53968254,36.17692308,63.42537313
48,49.15873016,35.22307692,50.76865672
49,43.23015873,33.41538462,63.05223881
50,44.74603175,43.10769231,51.6119403
51,39.29365079,43.53846154,57.88059701
52,35.64285714,34.60769231,47.57462687
53,41.29365079,33.66153846,54.62686567
54,45.54761905,34.05384615,49.8358209
55,34.53968254,36.06153846,49.87313433
56,46.4047619,31.7,46.02238806
57,47.44444444,31.72307692,45.42537313
58,37.70634921,33.65384615,49.38059701
59,31.30952381,33.90769231,54.55970149
60,34.66666667,33.2,44.49253731
61,32.65079365,28.37692308,47.60447761
62,36.82539683,33.00769231,43.24626866
63,30.88095238,32.39230769,43.53731343
64,34.19047619,22.12307692,41.67910448
65,31.25396825,25.03846154,39.05223881
66,28.27777778,28.59230769,38.32089552
67,31.63492063,25.46923077,35.7761194
68,30.88095238,19.55384615,26.54477612
69,26.02380952,18.68461538,36.34328358
70,24.65079365,18.39230769,39.12686567
71,21.46031746,23.81538462,37.62686567
72,24.57936508,21.87692308,29.87313433
73,28.18253968,15.71538462,32.08955224
74,24.02380952,25.23076923,33.58208955
75,29.8968254,23.74615385,28.57462687
76,21.16666667,20.66153846,31.76119403
77,16.81746032,16.75384615,24.81343284
78,21.04761905,22.1,25.64925373
79,17.65873016,16.53846154,29.35074627
80,20.51587302,16.02307692,18.94776119
81,17.26190476,18.86923077,24.44029851
82,16.67460317,16.25384615,30.6119403
83,18.70634921,22.83076923,23.60447761
84,18.02380952,19.00769231,25.39552239
85,18.91269841,16.04615385,25.05970149
86,15.96031746,18.23076923,25.07462687
87,21.86507937,17.50769231,19.69402985
88,16.03968254,11.68461538,22.14179104
89,17.70634921,14.06923077,22.70149254
90,18.61111111,14.13846154,17.97761194
91,13.56349206,13.57692308,28.39552239
92,14.99206349,13.23076923,17.67164179
93,13.77777778,9.692307692,15.1641791
94,12.73809524,20.02307692,24.46268657
95,15.92063492,14.84615385,18.88059701
96,15.31746032,12.50769231,22.47761194
97,13.54761905,15.66153846,23.59701493
98,14.81746032,12.06923077,19.90298507
99,13.93650794,16.24615385,24.08208955
100,14.71428571,13.79230769,18.78358209
101,13.80952381,15.98461538,20.52985075
102,14.33333333,12.82307692,18.01492537
103,11.92063492,13.16923077,23.74626866
104,14.26190476,10.36153846,18.75373134
105,11.50793651,9.838461538,16.28358209
106,8.523809524,7.069230769,15.25373134
107,8.841269841,8.915384615,15.26865672
108,11.63492063,8.115384615,17.01492537
109,7.626984127,9.123076923,14.86567164
110,9.285714286,12.17692308,9.007462687
111,11.18253968,8.323076923,12.74626866
112,11.87301587,9.007692308,14.15671642
113,8.531746032,9.669230769,10.52985075
114,5.404761905,7.453846154,15.31343284
115,11.71428571,7.753846154,12.47761194
116,8.365079365,9.292307692,11.55970149
117,7.388888889,8.292307692,12.24626866
118,5.452380952,8.553846154,10.92537313
119,6.142857143,6.838461538,10.20149254
120,9.626984127,7.053846154,10.1641791
121,8.150793651,4.784615385,10.51492537
122,5.976190476,6.5,7.537313433
123,7.031746032,7.376923077,10.91044776
124,8.341269841,7.5,10.57462687
125,3.849206349,10.96153846,9.014925373
126,9.380952381,5.192307692,4.104477612
127,6.222222222,6.184615385,7.776119403
128,9.849206349,6.215384615,6.940298507
129,5.976190476,5.584615385,9.589552239
130,10.1031746,4.730769231,8.641791045
131,7.087301587,4.884615385,9.156716418
132,7.142857143,7.307692308,7.567164179
133,5.119047619,5.346153846,6.813432836
134,5.73015873,6,6.895522388
135,6.119047619,3.823076923,9.71641791
136,3.26984127,8.507692308,4.873134328
137,7.261904762,3.7,5.425373134
138,6.73015873,5.076923077,7
139,4.412698413,4.007692308,6.082089552
140,4.714285714,4.592307692,6.798507463
141,4.936507937,3.923076923,7.425373134
142,5.23015873,3.615384615,6.552238806
143,7.619047619,4.876923077,8.402985075
144,6.396825397,4.338461538,8.350746269
145,4.595238095,5.923076923,8.947761194
146,3.555555556,4.992307692,9.417910448
147,4.698412698,3.553846154,8.21641791
148,3.904761905,4.576923077,5.111940299
149,3.46031746,3.115384615,6.798507463
150,4.785714286,3.838461538,7.664179104
151,2.714285714,6.046153846,6.514925373
152,6.380952381,6.738461538,6.604477612
153,4.73015873,5.8,6.731343284
154,4.587301587,2.976923077,3.619402985
155,5.26984127,5.123076923,5.052238806
156,2.587301587,4.984615385,6.358208955
157,4.031746032,2.176923077,6.768656716
158,4.515873016,3.776923077,5.671641791
159,1.936507937,3.430769231,3.634328358
160,3.722222222,1.5,6.02238806
161,2.785714286,3.192307692,7.52238806
162,4.317460317,2.730769231,3.843283582
163,3.079365079,2.361538462,4.723880597
164,4.222222222,3.115384615,6.529850746
165,4.642857143,4.876923077,4.723880597
166,2.96031746,3.015384615,5.291044776
167,3.912698413,2.092307692,4.858208955
168,2.325396825,4.176923077,1.141791045
169,4.579365079,2.476923077,2.291044776
170,2.76984127,1.723076923,4.082089552
171,2.587301587,3.384615385,7.052238806
172,2.523809524,2.407692308,4.529850746
173,1.976190476,2,4.529850746
174,2.23015873,2.5,3.641791045
175,4.031746032,3.007692308,5.052238806
176,2.682539683,2.584615385,4.089552239
177,4.682539683,2.7,2.141791045
178,6.206349206,2.330769231,3.276119403
179,3.952380952,2,3.723880597
180,3.365079365,2.115384615,2.567164179
181,3.253968254,4.392307692,4.97761194
182,3.642857143,1.238461538,4.007462687
183,2.30952381,3.038461538,3.746268657
184,1.920634921,3.438461538,2.208955224
185,1.706349206,2.153846154,6.5
186,2.992063492,2,1.776119403
187,3.246031746,2.130769231,2.858208955
188,1.738095238,2.176923077,2.73880597
189,3.349206349,2,0.947761194
