Time,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708126395.746454,2,3,24.308515625,15849,44.827700851408444,1008.4594167640889,39.96144305872863
1708126396.7572615,2,3,24.263984375,29299,44.76691834318068,1008.4847232215636,39.74994160171349
1708126397.7680573,2,3,24.234296875,43872,44.677047147223206,1008.5038787278058,39.589850242775725
1708126398.7789237,2,3,24.2221875,57925,44.56461435359229,1008.5128663430861,39.514737464751356
1708126399.789778,3,4,24.2200390625,70924,44.50271807978999,1008.524744063465,39.415471856066674
1708126400.8006535,3,4,24.22453125,82964,44.47858823949392,1008.5305293689231,39.36712269666819
1708126401.8118303,3,4,24.2352734375,94746,44.51681817415058,1008.5381620861482,39.30333462590069
1708126402.8230577,3,3,24.24796875,103653,44.58611635330561,1008.5473384667633,39.22664638379477
1708126403.833992,3,3,24.2614453125,113752,44.61235628314014,1008.5492264484978,39.210868337596736
1708126404.8446493,3,3,24.2735546875,123986,44.601432721789024,1008.547111377989,39.228544188286975
1708126405.8556592,3,5,24.286640625,132382,44.52279728161245,1008.5483454171434,39.218231198975566
1708126406.8667517,3,5,24.2977734375,140573,44.42548328387252,1008.556628646884,39.14900767950373
1708126407.8778272,3,5,24.30890625,147608,44.272809819216576,1008.5614741447928,39.1085137343097
1708126408.889004,4,5,24.3176953125,154954,44.10154769529064,1008.5606857633222,39.11510224691928
1708126409.9002376,4,5,24.3247265625,161039,43.94868375769088,1008.5518046818479,39.18932183042789
1708126410.9113727,4,5,24.3321484375,167289,43.81441726670645,1008.559044757594,39.12881616318664
1708126411.9224927,5,7,24.33625,172436,43.67373936087257,1008.555582589965,39.15774962357447
1708126412.9337084,5,7,24.3403515625,177910,43.56382644658443,1008.560714377541,39.114863117506474
1708126413.94498,5,7,24.3454296875,183143,43.44796928645229,1008.5348195226298,39.33126901738535
1708126414.9557261,5,6,24.3501171875,186286,43.31990215496953,1008.5237413166936,39.42385206968462
1708126415.9664693,5,6,24.3565625,188517,43.21660066938503,1008.5070043722827,39.56372803071669
1708126416.9772372,5,6,24.37375,190143,43.29811055906455,1008.4978939339717,39.63986764769054
1708126417.9879737,4,5,24.384296875,194392,43.59338447597758,1008.4897241566235,39.708146254264705
1708126418.9987195,4,5,24.390546875,198358,43.729057386962296,1008.489848283464,39.707108865520475
1708126420.0096989,4,5,24.39640625,202613,43.72973053438044,1008.4704113493893,39.86955409429773
1708126421.0217564,3,5,24.4036328125,205000,43.70601451460659,1008.4670088632703,39.897990816968395
1708126422.0339057,4,6,24.41515625,205894,43.70733799722497,1008.467343633164,39.895192930361816
1708126423.045898,4,6,24.4274609375,208623,43.84994836380015,1008.4621062957012,39.93896480312584
1708126424.0579054,4,6,24.4344921875,213198,43.9367632570997,1008.4686907453931,39.88393425748632
1708126425.0716267,4,6,24.433515625,217547,43.85064568456349,1008.4704980807453,39.86882922666558
1708126426.0837262,4,6,24.4294140625,220008,43.6476223526259,1008.4688059428112,39.8829714800283
1708126427.095727,5,6,24.425703125,223127,43.444890390805185,1008.4694851019296,39.8772953208707
1708126428.1077094,4,5,24.4180859375,226645,43.21748436834934,1008.4602029645926,39.954872238255405
1708126429.1197438,4,5,24.4091015625,229477,42.990236429987135,1008.4520756589418,40.02279794358842
1708126430.1317482,3,5,24.3966015625,231243,42.78121200687185,1008.4518289901649,40.02485953788639
1708126431.1437707,3,5,24.382734375,233695,42.58449264355168,1008.454455212854,40.002910263985484
1708126432.1555676,4,6,24.3676953125,236200,42.40005803254243,1008.4499667684355,40.04042352209471
1708126433.16632,4,6,24.351484375,238071,42.246114117936976,1008.4452392886008,40.07993472260232
1708126434.1770835,4,6,24.3317578125,238414,42.11623652220223,1008.4363583617023,40.15415989386577
1708126435.187812,4,6,24.3094921875,239104,41.9983314989182,1008.4352668712661,40.16328240887216
1708126436.1985219,4,4,24.2856640625,239451,41.90462013622196,1008.4264076625814,40.23732665549297
1708126437.209451,4,4,24.26203125,241550,41.83525432378722,1008.4195913694856,40.29429680725505
1708126438.2206256,3,3,24.236640625,242792,41.771792142222296,1008.4167113071668,40.31836828185098
1708126439.2313912,2,2,24.2128125,243687,41.72065522315919,1008.4061275494455,40.40682749003407
1708126440.2421393,2,2,24.1891796875,245497,41.66955969531103,1008.4010234702921,40.44948772999914
1708126441.252868,2,2,24.1649609375,246964,41.6305349352025,1008.393220229918,40.51470808059985
1708126442.263591,2,2,24.139765625,248823,41.597471494245504,1008.370037583392,40.708473628170985
1708126443.2745924,2,2,24.116328125,250141,41.582777558507,1008.3618175028705,40.777179696004026
1708126444.2865214,2,2,24.0911328125,250141,41.598170931059066,1008.3300416566703,41.04277666883394
1708126445.302184,3,3,24.0653515625,252626,41.595332033058625,1008.3075951839345,41.23039858022171
1708126446.3136885,3,3,24.03703125,252819,41.616438116221744,1008.2843423573661,41.42476407674065
1708126447.324478,3,3,24.02375,246595,41.6876662025768,1008.2621577708727,41.61020376186119
1708126448.3352194,2,2,24.0133984375,248823,42.1233340974684,1008.2517386565088,41.69729768095155
1708126449.3460052,2,2,23.9997265625,247890,42.49887288628362,1008.2357732550381,41.830754716433184
1708126450.3567843,2,2,23.98703125,250330,42.75945759955273,1008.2265924928154,41.90749877348444
1708126451.36773,2,2,23.976484375,250520,42.89247763415812,1008.2210000934614,41.95424717526929
1708126452.3797133,2,2,23.9696484375,249198,42.98937801918552,1008.2181705055107,41.97790055789672
1708126453.391745,2,2,23.966328125,253789,43.16006388964429,1008.2040352625553,42.09606213960929
1708126454.4036252,2,2,23.9555859375,256348,43.238325783742596,1008.1912450969538,42.20298089176683
1708126455.415458,3,3,23.9415234375,257948,43.16336618490283,1008.1814973418844,42.28446750213271
1708126456.4272816,3,3,23.9284375,258959,43.04579270419083,1008.1768157803135,42.32360336380856
1708126457.4392807,2,3,23.9145703125,259772,42.952634190120854,1008.1776992763964,42.31621770141695
1708126458.450922,2,3,23.8985546875,261623,42.84708828974076,1008.1681225097108,42.39627579541793
1708126459.4616888,2,3,23.8813671875,262038,42.71709878580049,1008.1531523488662,42.52142182825285
1708126460.47247,2,3,23.8626171875,265191,42.56877168635185,1008.1321365187941,42.69711037261386
1708126461.4831913,2,3,23.8425,266044,42.438686393414585,1008.1139889190141,42.84882341570983
1708126462.4938867,2,3,23.8180859375,265617,42.32039264067605,1008.078358406017,43.14669918802659
1708126463.504748,2,3,23.791328125,268857,42.195855937378084,1008.040530176867,43.46295748622224
1708126464.516555,2,3,23.7645703125,269955,42.101779726256765,1008.018157222235,43.6500083683888
1708126465.5284977,1,2,23.7368359375,270397,42.01979358653512,1007.9838485222742,43.93685553702521
1708126466.5405214,1,2,23.706953125,269955,41.955814916816315,1007.9579701844382,44.153223612522375
1708126467.552538,1,2,23.6770703125,269955,41.879740912102065,1007.9338072856312,44.35525300976991
1708126468.5645776,1,2,23.6481640625,273077,41.82805820175103,1007.9267264799832,44.414457365210836
1708126469.5766137,2,3,23.616328125,271062,41.78819179577632,1007.9095977293847,44.55767644937327
1708126470.5885978,2,3,23.5860546875,272402,41.76062639583821,1007.8916429110199,44.707804671824626
