Time,PM1,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708128076,3,4,4,34.78800781,129500,100,692.6947882,3095.096044
1708128077,3,4,4,23.88820313,37827,42.16643566,1008.662508,38.26421052
1708128078,3,4,4,23.92042969,44688,42.08555449,1008.665782,38.23684921
1708128079,3,4,4,23.9565625,53418,41.97499738,1008.666894,38.22755894
1708128080,2,3,3,23.99132813,60083,41.85230494,1008.669185,38.20840799
1708128081,2,3,3,24.02316406,66373,41.73538878,1008.66664,38.22967654
1708128082,2,3,3,24.04933594,72488,41.62393761,1008.671954,38.18527297
1708128083,2,3,3,24.07003906,78075,41.49992964,1008.669967,38.2018792
1708128084,2,3,3,24.08683594,83632,41.39960976,1008.682183,38.09980013
1708128085,2,4,4,24.09972656,88415,41.30492329,1008.684515,38.08031366
1708128086,2,4,4,24.10949219,93282,41.22194924,1008.695458,37.98887167
1708128087,3,5,5,24.11710938,100199,41.15077805,1008.699416,37.95579386
1708128088,3,5,5,24.12394531,104786,41.08554771,1008.705528,37.90472684
1708128089,3,5,5,24.13,108395,41.02025706,1008.705188,37.90756161
1708128090,3,5,5,24.1346875,112118,40.97281958,1008.702594,37.92923782
1708128091,3,5,5,24.13761719,115650,40.92520412,1008.700543,37.94638069
1708128092,3,5,5,24.14132813,119492,40.9016456,1008.704942,37.90962241
1708128093,3,5,5,24.14425781,123080,40.86602733,1008.70289,37.92676607
1708128094,3,5,5,24.14738281,125624,40.83043777,1008.704602,37.91246124
1708128095,3,5,5,24.15148438,128838,40.80094795,1008.701041,37.94221525
1708128096,3,5,5,24.15578125,131334,40.78345558,1008.701244,37.94052092
1708128097,2,4,4,24.15988281,133929,40.75995857,1008.699404,37.95589773
1708128098,2,4,4,24.16300781,136734,40.76029735,1008.695953,37.98473208
1708128099,2,4,4,24.16554688,138561,40.7306499,1008.70014,37.9497447
1708128100,3,5,5,24.16789063,141113,40.70696953,1008.69368,38.00372457
1708128101,3,5,5,24.17199219,143878,40.68348274,1008.693561,38.00472455
1708128102,3,5,5,24.1753125,145902,40.67187792,1008.697315,37.97335181
1708128103,3,5,5,24.18019531,147861,40.65446148,1008.6916,38.02110608
1708128104,3,5,5,24.18449219,149238,40.63100271,1008.693523,38.00503706
1708128105,3,5,5,24.18800781,149364,40.64334446,1008.694158,37.99973358
1708128106,3,4,4,24.19113281,150128,40.67957259,1008.692428,38.01419289
1708128107,3,4,4,24.19425781,152730,40.73376124,1008.694139,37.9998928
1708128108,3,4,4,24.19621094,154741,40.76389761,1008.704243,37.91546074
1708128109,2,3,3,24.19816406,156667,40.77608089,1008.702301,37.93168811
1708128110,3,4,4,24.2003125,158641,40.77631395,1008.707565,37.88770463
1708128111,3,4,4,24.20089844,159358,40.75243533,1008.705089,37.90839086
1708128112,3,4,4,24.20285156,160812,40.78257552,1008.70831,37.88147862
1708128113,3,4,4,24.20441406,162893,40.81866653,1008.702282,37.93184904
1708128114,3,4,4,24.2065625,164566,40.87878684,1008.700662,37.94538609
1708128115,3,4,4,24.2096875,165960,40.89110668,1008.69721,37.97422789
1708128116,3,4,4,24.21359375,166431,40.91549453,1008.698489,37.963545
1708128117,3,4,4,24.21535156,167379,40.90969464,1008.689341,38.03998719
1708128118,3,4,4,24.21691406,168499,40.92783872,1008.691917,38.01845782
1708128119,3,4,4,24.21769531,169798,40.92193213,1008.691484,38.02207364
1708128120,2,3,3,24.21613281,172287,40.89180752,1008.688908,38.04360299
1708128121,2,3,3,24.21378906,173645,40.86759307,1008.695369,37.98961451
1708128122,2,3,3,24.2096875,174160,40.8192391,1008.686885,38.06050978
1708128123,2,3,3,24.2065625,176426,40.77100602,1008.692057,38.01728707
1708128124,2,3,3,24.20304688,176780,40.72274537,1008.694865,37.99382787
