Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1712965535.41,0,0,2174.0,26.471796875000003,71.51422278040411,859.837696117627,1448.4284353301982,62521.5
1712965537.41,0,0,33.0,18.833125,43.10521056807056,996.7741367614875,138.08479841533634,31290.5
1712965539.41,0,0,32.5,18.963984375000003,43.067993891870664,996.7854392395691,137.98944056972346,46641.0
1712965541.39,0,0,32.5,19.07013671875,42.973736621303885,996.7902840353635,137.94856571090145,58152.0
1712965543.41,0,0,34.5,19.117109375,42.8187876927262,996.7927935458077,137.9273934210136,66385.5
1712965545.39,0,0,36.0,19.117109375,42.8187876927262,996.7927935458077,137.9273934210136,66385.5
1712965547.41,0,0,30.0,19.09826171875,42.69909668259106,996.8021827650149,137.84817866438698,71948.0
1712965549.4,0,0,30.0,19.06720703125,42.63545390338617,996.8054480995318,137.82062993498425,76694.5
1712965551.42,0,0,43.5,19.039179687500003,42.56312902425314,996.8009354055682,137.85870232520224,80397.0
1712965553.41,0,0,36.5,18.9903515625,42.50668514211164,996.7890916076387,137.95862604615996,83244.5
1712965555.41,0,0,26.0,18.89982421875,42.46989253468337,996.7850078573837,137.99308003800797,85417.0
1712965557.42,0,0,36.0,18.8282421875,42.49535518508646,996.7825287194122,138.01399617509622,87321.5
1712965559.39,0,0,36.0,18.746796875,42.56192547299095,996.788512079182,137.96351540683156,89405.0
1712965561.41,0,0,39.5,18.652851562499997,42.63018897908552,996.8104377221634,137.77853394236064,91447.5
1712965563.41,0,0,32.5,18.5907421875,42.70489707153905,996.8213534046319,137.68644212155522,92499.5
1712965565.41,0,0,32.0,18.50294921875,42.81003867804037,996.8260349249463,137.6469460298288,95892.0
1712965567.41,0,0,45.5,18.388203125,42.88820740688536,996.8115728780142,137.76895697295606,97081.0
1712965569.39,0,0,45.5,18.2989453125,43.0264814762979,996.7966613418041,137.89476170837773,98026.0
1712965571.42,0,0,33.5,18.27267578125,43.16256423930791,996.7822573732573,138.01628550108381,98657.0
1712965573.41,0,0,35.5,18.296015625000003,43.29805815863473,996.7856137262017,137.98796838576044,99497.0
1712965575.41,0,0,43.0,18.32013671875,43.38534698681707,996.782102908832,138.01758873644462,100142.0
1712965577.39,0,0,43.0,18.283125,43.426724546884515,996.7810626261355,138.02636545845206,101090.0
1712965579.41,0,0,39.0,18.229999999999997,43.49057999923795,996.7747772583871,138.07939455395962,101761.0
1712965581.41,0,0,32.0,18.19591796875,43.57468409344892,996.7901866991606,137.94938712382054,102174.0
1712965583.42,0,0,40.0,18.15841796875,43.68269331479934,996.7973649472794,137.88882545286526,102381.5
1712965585.41,0,0,37.5,18.089863281249997,43.77223001051978,996.8094672525406,137.78672152605094,102951.0
1712965587.43,0,0,37.5,17.990546875,43.855423305560976,996.803474498798,137.83728064079293,104074.5
1712965589.41,0,0,38.0,17.89279296875,43.99040005472348,996.8044750291951,137.828839543804,103708.0
1712965591.41,0,0,34.0,17.82892578125,44.129160667474984,996.7915832234335,137.93760475831237,104537.0
1712965593.41,0,0,38.0,17.7915234375,44.28306441248497,996.7844203183424,137.99803699567488,104817.0
1712965595.41,0,0,31.5,17.73185546875,44.41032473787934,996.7891085696824,137.9584829175013,104942.0
1712965597.36,0,0,31.5,17.73185546875,44.41032473787934,996.7891085696824,137.9584829175013,104942.0
1712965599.42,0,0,39.0,17.668085937500003,44.54330195804276,996.7943726100768,137.91407116494509,105256.0
1712965601.41,0,0,41.5,17.62130859375,44.6934695766719,996.7972987158478,137.88938426555848,104973.5
1712965603.41,0,0,38.0,17.58634765625,44.8237165044937,996.8039670212352,137.8331253903811,105445.0
1712965605.42,0,0,38.0,17.551289062499997,44.94489105012255,996.8113735215306,137.7706389139468,105381.5
1712965607.42,0,0,42.0,17.5091015625,45.06535646509808,996.8144729203777,137.7444902791715,105921.0
1712965609.41,0,0,46.0,17.46525390625,45.18876851044678,996.8076692548948,137.80189066694444,106431.5
1712965611.42,0,0,33.5,17.423457031250003,45.294145639203705,996.8023672678332,137.84662207141065,106016.5
1712965613.41,0,0,38.0,17.38537109375,45.39999138005722,996.8084629135694,137.7951947869572,106399.5
1712965615.43,0,0,38.0,17.3567578125,45.50694903333983,996.8172330291173,137.72120423696046,106624.5
1712965617.41,0,0,36.0,17.316523437500003,45.60961156271952,996.8252538376094,137.65353574252094,106175.5
1712965619.41,0,0,34.5,17.30880859375,45.71595887316359,996.8335235141456,137.58376825222535,106721.0
1712965621.41,0,0,39.0,17.32130859375,45.79397164611743,996.8492115374385,137.4514164555086,106851.0
1712965623.42,0,0,35.5,17.33029296875,45.850163350250284,996.8529091154542,137.42022216838376,106820.0
1712965625.4,0,0,35.5,17.3253125,45.880273553760894,996.8529759389692,137.4196584332795,107306.0
1712965627.41,0,0,32.5,17.31125,45.936981247025884,996.8446795975351,137.4896498913928,107437.0
1712965629.41,0,0,33.5,17.28849609375,45.97738857285602,996.8349604946702,137.57164497913834,107897.5
1712965631.41,0,0,34.0,17.2551953125,46.0227605978763,996.8307340294896,137.60730170090443,108062.5
1712965633.41,0,0,34.0,17.218378906250003,46.08002532546287,996.8262307461689,137.64529396380408,107339.0
1712965635.41,0,0,28.5,17.187128906250003,46.16250449992867,996.8244074351735,137.6606764711051,108196.0
1712965637.41,0,0,41.5,17.1587109375,46.242263349569306,996.802822461199,137.84278172413985,107112.5
1712965639.41,0,0,24.0,17.1409375,46.34477439355975,996.7948314547433,137.91020002383965,107110.5
1712965641.41,0,0,32.5,17.12140625,46.42868727147093,996.7858012811566,137.98638599686547,107470.0
1712965643.37,0,0,32.5,17.12140625,46.42868727147093,996.7858012811566,137.98638599686547,107470.0
1712965645.42,0,0,34.0,17.089374999999997,46.51738298384451,996.7863090615322,137.98210192733723,107603.5
1712965647.41,0,0,30.5,17.0708203125,46.58608777686261,996.7806558882953,138.02979707825844,107931.5
1712965649.41,0,0,39.5,17.0409375,46.63813682199762,996.7927384293703,137.92785865005064,108395.5
1712965651.41,0,0,28.5,17.009785156249997,46.67773483247932,996.8099727798681,137.78245652434498,108295.5
1712965653.39,0,0,28.5,16.985859375,46.711994800460744,996.8235639701595,137.667792458316,108395.0
1712965655.41,0,0,34.0,16.96525390625,46.76512590578052,996.8299044066202,137.61430086228478,108429.5
1712965657.41,0,0,36.5,16.95294921875,46.81612894629155,996.8280360739525,137.63006321331295,108461.5
1712965659.41,0,0,33.5,16.95353515625,46.85935799729667,996.8370918434578,137.55366382962688,108428.5
1712965661.39,0,0,33.5,16.9688671875,46.90118555629521,996.835744470422,137.56503096689897,108899.0
1712965663.41,0,0,25.0,16.98986328125,46.93749894448817,996.8282331202461,137.62840080451153,109234.5
1712965665.41,0,0,35.5,17.02580078125,46.953922111668035,996.8250437892252,137.65530781598858,108830.5
1712965667.41,0,0,31.5,17.06955078125,46.934211838873395,996.8281662317024,137.6289650780138,108461.5
1712965669.42,0,0,41.0,17.106562500000003,46.89831430372628,996.8239966382009,137.66414232909426,109167.0
1712965671.4,0,0,41.0,17.1284375,46.90696935938581,996.8142861219649,137.74606626986622,109065.5
1712965673.41,0,0,35.0,17.1680859375,46.942331160013964,996.8026495205339,137.84424078276353,108797.0
1712965675.41,0,0,29.5,17.2133984375,46.925888024012565,996.7992554062364,137.8728760862952,109304.0
1712965677.41,0,0,34.5,17.24689453125,46.886505901278305,996.8010975483069,137.85733438725742,109882.0
1712965679.41,0,0,34.0,17.297871093749997,46.81210844137951,996.809542043426,137.7860904929397,109608.0
1712965681.4,0,0,34.0,17.332050781249997,46.732746374856745,996.8052652632028,137.8221724717931,110087.5
1712965683.41,0,0,37.5,17.384296875,46.67395471763914,996.8130378134767,137.75659778544457,109881.5
1712965685.41,0,0,33.5,17.4665234375,46.59393586840088,996.8142277319062,137.74655884396043,110363.5
1712965687.42,0,0,32.5,17.542988281249997,46.494814894652926,996.8205108024436,137.69355083219722,110156.5
1712965689.4,0,0,32.5,17.61466796875,46.3613503050707,996.8190417355195,137.70594480099703,110018.5
1712965691.41,0,0,32.5,17.678242187499997,46.26087890464159,996.8224998467961,137.6767700350215,110467.0
1712965693.42,0,0,37.5,17.74298828125,46.166736989994966,996.8251270675468,137.65460522615928,110055.0
1712965695.38,0,0,33.0,17.74298828125,46.166736989994966,996.8251270675468,137.65460522615928,110055.0
1712965697.41,0,0,33.5,17.79337890625,46.08022950137483,996.8235018821784,137.6683162625538,110294.0
1712965699.39,0,0,33.5,17.8446484375,46.04607545143453,996.8232843202038,137.67015181781264,109950.0
1712965701.41,0,0,43.0,17.8997265625,45.981643231672656,996.8283018006102,137.6278213421804,110329.5
1712965703.41,0,0,50.5,17.962421874999997,45.8659057350321,996.8392873675609,137.53514129576715,110294.5
1712965705.41,0,0,33.0,18.02990234375,45.76610503445977,996.8462505848358,137.47639633650198,110295.0
1712965707.41,0,0,36.5,18.103828125,45.660944866333764,996.8329116121331,137.58893051097996,110504.0
1712965709.41,0,0,36.5,18.174140625,45.54010856877531,996.8209353041468,137.68996949599546,110884.0
1712965711.41,0,0,35.0,18.249628906250003,45.39849100646106,996.8172875023159,137.72074461957516,111164.5
1712965713.42,0,0,39.5,18.3122265625,45.270823198617194,996.8180930603746,137.71394845215315,111094.0
1712965715.42,0,0,33.0,18.37794921875,45.11301186013593,996.8293414259117,137.61905049007436,110710.5
1712965717.44,0,0,33.0,18.442500000000003,44.9735229125922,996.8450039884166,137.48691336109027,111375.0
1712965719.42,0,0,32.5,18.5005078125,44.824246533628894,996.8600287989921,137.36015792995022,111342.0
1712965721.42,0,0,32.5,18.55265625,44.68663502275898,996.8574601814571,137.3818276323904,112012.5
1712965723.47,0,0,33.5,18.58390625,44.53766422349891,996.85819826301,137.3756009226306,112189.5
1712965725.42,0,0,32.5,18.61125,44.394471065448215,996.8499207146123,137.44543354718533,112047.5
