Time,PM2.5,PM10
1707520980.2906804,1,1
1707520981.2921338,1,1
1707520982.2935119,2,2
1707520983.2949743,2,2
1707520984.2969418,2,2
1707520985.2990506,1,1
1707520986.3012617,1,1
1707520987.3030405,1,1
1707520988.3048105,1,1
1707520989.3065703,1,1
1707520990.3083727,1,1
1707520991.3101459,2,2
1707520992.311924,2,2
1707520993.313769,2,2
1707520994.3155499,1,1
1707520995.3173766,1,1
1707520996.3191528,0,0
1707520997.3209808,1,1
1707520998.3227665,1,1
1707520999.324541,2,2
1707521000.326311,2,2
1707521001.328086,2,2
1707521002.3298614,2,2
1707521003.3316083,1,1
1707521004.333465,1,1
1707521005.3352609,1,1
1707521006.3370466,1,1
1707521007.338822,1,1
1707521008.3406577,1,1
1707521009.3424413,1,1
